AAREN	AA R AH N
BREVETTED	B R AH V EH T IH D
BREVETTING	B R AH V EH T IH NG
BREVIARY	B R EH V IY EH R IY
BREWPUB	B R UW P AH B
BRIANNE	B R AY AH N
BRIANO	B R AY AH N OW
BRIBER	B R AY B ER
BRICKLAYING	B R IH K L EY IH NG
BRICKMASON	B R IH K M EY S AH N
BRICKWORK	B R IH K W ER K
BRIDALVEIL	B R AY D AH L V EY L
BRIDEWELL	B R AY D W EH L
BRIDGEABLE	B R IH JH AH B AH L
BRIDGEWORK	B R IH JH W ER K
BRIDLEWAY	B R AY D AH L W EY
BRIEFNESS	B R IY F N AH S
BRIETTA	B R IY T AH
BRIGADOON	B R IH G AH D UW AO N
BRIGAND	B R IH G AH N D
BRIGANDAGE	B R AH G AE N D AH JH
BRIGANTINE	B R IH G AH N T IY N
BRIGG	B R IH G
BRIGHTENER	B R AY T AH N ER
BRIGID	B R IH G AH D
BRIGIDA	B R IH JH AH D AH
BRIGIT	B R IH JH AH T
BRIGITTA	B R AH JH IH T AH
BRILLIANCY	B R IH L Y AH N S IY
BRILLIANTINE	B R IH L IY AH N T AY N
BRILLO	B R IH L OW
BRILLOUIN	B R IH L AW AH N
BRIMFUL	B R IH M F AH L
BRIMLESS	B R IH M L AH S
BRINA	B R IH N AH
BRINDISI	B R IH N D AH S IY
BRINGER	B R IH NG ER
BRININESS	B R IH N AH N AH S
BRINNA	B R IH N AH
BRINY	B R AY N IY
BRIQUETTE	B R IH K W EH T
BRISKNESS	B R IH S K N AH S
BRISTLY	B R IH S AH L IY
BRITANNIC	B R IH T AH N AH K
BRITICISM	B R IH T AH S IH Z AH M
BRITISHER	B R IH T AH SH AH R
BRITISHLY	B R AH T IH SH L IY
BRITNI	B R IH T N IY
BRITTA	B R IH T AH
BRITTANEY	B R IH T EY N IY
BRITTANI	B R IH T AH N IY
BRITTE	B R IH T
BRITTENY	B R IH T AH N IY
BRITTLENESS	B R IH T AH L N AH S
BRITTNE	B R IH T N
BRITTNEY	B R IH T N IY
BRITTNI	B R IH T N IY
BRNABA	B R N AE B AH
BRNABY	B R N AE B IY
BROACHER	B R OW CH ER
BROADCLOTH	B R AO D K L AO TH
BROADCLOTHS	B R AO D K L AO TH S
BROADLEAVED	B R AO D L IY V D
BROADLOOM	B R AO D L UW M
BROADMINDED	B R AO D M AY N D IH D
BROADNESS	B R AO D N AH S
BROADSHEET	B R AO D SH IY T
BROBDINGNAG	B R AA B D IH N G N AH G
BROCHETTE	B R AH CH EH T
BROCKY	B R AA K IY
BRODDIE	B R AA D AY
BRODDY	B R AA D IY
BRODERIC	B R AA D AH R AH K
BROGLIE	B R AA G L AY
BROGUE	B R AA G
BROKENNESS	B R OW K AH N AH S
BROMIDIC	B R OW M AY D IH K
BRON	B R AA N
BRONCHI	B R AA N K AY
BRONCHIOLAR	B R AA NG K IY OW L ER
BRONCHIOLE	B R AA NG K IY OW L
BRONCHITIC	B R AA NG K HH IH T IH K
BRONCHUS	B R AA NG K AH S
BRONCOBUSTER	B R AA NG K OW B AH S T ER
BRONNIE	B R AA N AY
BRONNY	B R AA N IY
BRONTOSAUR	B R AA N T AH S AH R
BRONZING	B R AA N Z IH NG
BROODER	B R UW D ER
BROODINESS	B R UW D IY N AH S
BROODMARE	B R UW D M EH R
BROOKDALE	B R UH K D EY L
BROOKLET	B R UH K L AH T
BROOKMONT	B R UH K M AH N T
BROS	B R AA Z
BROWNIAN	B R OW N IY AH N
BROWNNESS	B R AW N AH S
BRUEGEL	B R UW AH JH AH L
BRUIS	B R UW W AH S
BRUISER	B R UW Z ER
BRUIT	B R UW T
BRUMIDI	B R UW M AH D IY
BRUSHER	B R AH SH ER
BRUSHLIKE	B R AH SH L AY K
BRUSHOFF	B R AH SH AO F
BRUSHWOOD	B R AH SH W UH D
BRUSQUENESS	B R AH S K N AH S
BRUTISHNESS	B R UW T IH SH N AH S
BRYANA	B R AY AH N AH
BRYANTY	B R AY AE N T IY
BRYNN	B R IH N
BRYNNA	B R IH N AH
BRYNNE	B R IH N
BRYNNER	B R IH N AH R
BUBBLEGUM	B AH B AH L G AH M
BUBBLER	B AH B AH L ER
BUBER	B Y UW B AH R
BUBO	B Y UW B OW
BUBOES	B Y UW B OW Z
BUCKAROO	B AH K AH R UW
BUCKBOARD	B AH K B OW R D
BUCKER	B AH K ER
BUCKETFUL	B AH K AH T F AH L
BUCKIE	B AH K IY
BUCKRAM	B AH K R AE M
BUCKSAW	B AH K S AO
BUCKTEETH	B AH K T IY TH
BUCKTOOTH	B AH K T UW TH
BUCOLICALLY	B Y UW K AA L IH K AH L IY
BUDDED	B AH D IH D
BUDGERIGAR	B AH JH R IH G ER
BUDGETER	B AH JH AH T ER
BUDGIE	B AH JH IY
BUFFALOES	B AH F AH L OW Z
BUFFERER	B AH F ER ER
BUFFLEHEAD	B AH F L AH HH IY D
BUFFOONERY	B AH F UW N AH R IY
BUFFOONISH	B AH F UW N IH SH
BUGBEAR	B AH G B AE ER
BUGLER	B Y UW G AH L ER
BUIRON	B UW R AH N
BUKHARA	B AH K AH R AH
BULAWAYO	B Y UW L AO EY OW
BULBA	B UH L B AH
BULBLET	B AH L B L AH T
BULGANIN	B UH L G AH N AH N
BULGY	B AH L JH IY
BULIMAREXIA	B Y UW L AH M AH R EH K S IY AH
BULKINESS	B AH L K IY N AH S
BULLDOGGED	B UH L D AO G AH D
BULLDOGGER	B UH L D AO G ER
BULLDOGGING	B UH L D AO G IH NG
BULLFINCH	B UH L F IH N CH
BULLHEADED	B UH L HH EH D IH D
BULLHIDE	B UH L HH AY D
BULLRING	B UH L R IH NG
BULLWHACKERS	B UH L W AE K ER Z
BULTMANN	B UH L T M AH N
BUMBLER	B AH M B AH L ER
BUMBRY	B AH M R IY
BUMMEST	B AH M AH S T
BUMMING	B AH M IH NG
BUMPINESS	B AH M P IY N AH S
BUMPPO	B AH M P OW
BUMPTIOUS	B AH M P SH AH S
BUNDLER	B AH N D AH L ER
BUNGLE	B AH NG G AH L
BUNIN	B AH N IH N
BUNION	B AH N Y AH N
BUNKHOUSE	B AH NG K HH AW S
BUNKMATE	B AH NG K M EY T
BUNKUM	B AH NG K AH M
BUNSEN	B AH N S EH N
BURBLER	B AH R B L AH R
BURBS	B AH R B Z
BURDOCK	B AH R D AH K
BURGH	B AH R
BURGHS	B AH R Z
BURGLARPROOF	B ER G L ER P R UW F
BURGLE	B AH R G AH L
BURIER	B EH R IY ER
BURLER	B ER L ER
BURLESQUER	B ER L EH S K ER
BURLIE	B ER L IY
BURLINESS	B ER L IY N AH S
BURNISHER	B ER N IH SH ER
BURNOOSE	B AH R N UW Z
BURSA	B AH R S AH
BURSAE	B AH R S IY
BURSAR	B ER S ER
BURSARY	B ER S EH R IY
BURSITIS	B ER S AY T AH S
BURSTER	B ER S T ER
BURTIE	B AH R T AY
BURTY	B AH R T IY
BURUNDIAN	B Y AH R AH N D IY AH N
BUSGIRL	B AH S G ER L
BUSHIDO	B AH SH AH D OW
BUSHINESS	B UH SH IY N AH S
BUSHING	B UH SH IH NG
BUSHLAND	B UH SH L AE N D
BUSHMASTER	B UH SH M AE S T ER
BUSHWHACKER	B UH SH W AE K ER
BUSKIN	B AH S K IH N
BUSYNESS	B IH Z IY N AH S
BUSYWORK	B IH Z IY W ER K
BUTCHERER	B UH CH ER ER
BUTENE	B Y UW T IY N
BUTTED	B AH T IH D
BUTTERNUT	B AH T ER N AH T
BUTTONER	B AH T AH N ER
BUTTONHOLER	B AH T AH N HH OW L ER
BUTTONWEED	B AH T AH N W IY D
BUTTONWOOD	B AH T AH N W UH D
BUTYRATE	B Y UW T AH R EY T
BUXOMNESS	B AH K S AH M N AH S
BUXTEHUDE	B AH K S T AH HH Y UW D
BUÃ‘UEL	B Y UW AH AH L
BYLINER	B AY L AY N ER
BYPATH	B AY P AE TH
BYPATHS	B AY P AE TH S
BYPLAY	B AY P L EY
BYRAN	B AY R AE N
BYRANN	B IH R AH N
BYRE	B AY R
BYROAD	B AY R OW D
BYRONIC	B IH R AH N AH K
BYRONISM	B IH R AH N IH Z AH M
CABALA	K AE B AH L AH
CABALLED	K AE B AH L D
CABALLING	K AE B AH L IH NG
CABBED	K AE B D
CABBING	K AE B IH NG
CABER	K AE B ER
CABINETMAKER	K AE B N AH T M EY K ER
CABINETWORK	K AE B N AH T W ER K
CABLECAST	K EY B AH L K AE S T
CABOCHON	K AE B AH CH AH N
CABSTAND	K AE B S T AE N D
CACHEPOT	K AE SH P AA T
CACILIA	K AH S IH L Y AH
CACILIE	K AE S AH L AY
CACKLER	K AE K AH L ER
CACKLY	K AE K AH L IY
CACOPHONIST	K AE K AA F AH N IH S T
CACOPHONOUS	K AE K AA F AH N AH S
CADAVEROUS	K AH D AE V ER AH S
CADDISH	K EY D IH SH
CADDISHNESS	K EY D IH SH N AH S
CADDRIC	K AE D R AH K
CADENCED	K EY D AH N S T
CADENCING	K EY D AH N S IH NG
CADENT	K EY D AH N T
CADENZA	K AH D EH N Z AH
CADETTE	K EY D EH T
CADGE	K AE JH
CADGER	K AE JH AH R
CADUCEI	K AE D Y AH S IY
CADUCEUS	K AE D Y UW S IY AH S
CAEDMON	K IY D M AH N
CAESURA	K IY S AH R AH
CAFÃ‰	K AE F
CAGER	K EY JH ER
CAGIER	K EY JH IY ER
CAGIEST	K EY JH IY AH S T
CAGILY	K EY JH IY L IY
CAGINESS	K EY JH IY N AH S
CAHOKIA	K AH HH OW K IY AH
CAHRA	K AE R AH
CAIAPHAS	K EY AH F AH Z
CAIRISTIONA	K AE AH R AH S T IY AH N AH
CAITIFF	K EY T AH F
CAITRIN	K EY T R AH N
CAJOLEMENT	K AH JH OW L M AH N T
CAJOLER	K AH JH OW L AH R
CAJOLERY	K AE JH AH L EH R IY
CAKEWALK	K EY K W AO K
CALABASH	K AE L AH B AH SH
CALABOOSE	K AE L AH B UW Z
CALCAREOUS	K AE L K AE R IY AH S
CALCIFEROUS	K AE L S IH F AH R AH S
CALCIMINE	K AE L S AH M AY N
CALCINE	K AE L S AY N
CALCULABLE	K AE L K Y AH L AH B AH L
CALCULATIVE	K AE L K Y AH L AH T IH V
CALCULI	K AE L K Y AH L AY
CALENDER	K AH L EH N D AH R
CALFSKIN	K AE F S K IH N
CALIBAN	K AE L AH B AH N
CALIBRATING	K AE L AH B R EY T IH NG
CALIBRATOR	K AE L AH B R EY T ER
CALICOES	K AE L IH K OW Z
CALIFORNIUM	K AE L AH F AO R N IY AH M
CALIGULA	K AE L AH G Y UW L AH
CALIPHATE	K AE L AH F AH T
CALIPHS	K AE L AH F S
CALLAO	K AE L EY OW
CALLBACK	K AO L B AE K
CALLEAN	K AO L IY AH N
CALLEE	K AO L IY
CALLI	K AE L IY
CALLIDA	K AE L AH D AH
CALLIGRAPH	K AE L IH G R AH F
CALLISTO	K AE L IH S T OW
CALLOSITY	K AO L AA S AH T IY
CALLOWNESS	K AO L OW N AH S
CALOOCAN	K AE L AH K AH N
CALORIFIC	K AE L AH R IH F AH K
CALORIMETER	K AE L AH R IH M AH T ER
CALORIMETRIC	K AH L AO R AH M EH T R IH K
CALORIMETRY	K AE L AH R AH M EH T R IY
CALTECH	K AE L T AH K
CALUMNIATE	K AE L AH M N IY EY T
CALUMNIATION	K AE L AH M N IY EY SH AH N
CALUMNIATOR	K AE L AH M N IY EY T ER
CALUMNIOUS	K AE L AH M N IY AH S
CALVE	K AE V
CALVINISM	K AE L V AH N IH Z AH M
CALVINISTIC	K AE L V AH N AH S T AH K
CAMALA	K AE M AH L AH
CAMBIAL	K AE M B AY AH L
CAMBIUM	K AE M B IY AH M
CAMBRIC	K AE M B R AH K
CAMELLA	K AH M EH L AH
CAMELLIA	K AH M IY L Y AH
CAMEMBERT	K AH M EH M B AH R T
CAMERAE	K AE M AH R IY
CAMERAWOMAN	K AE M R AH W UH M AH N
CAMERAWOMEN	K AE M R AH W IH M AH N
CAMEROONIAN	K AE M AH R UW N IY AH N
CAMEY	K EY M IY
CAMI	K AE M IY
CAMILA	K AE M AH L AH
CAMILE	K EY M AH L
CAMION	K AE M IY AH N
CAMISOLE	K AE M AH S OW L
CAMMED	K AE M D
CAMMI	K AE M IY
CAMOENS	K AE M OW AH N Z
CAMOUFLAGER	K AE M AH F L AA ZH ER
CAMPANILE	K AE M P EY N AH L
CAMPANOLOGY	K AE M P EY N AA L AH JH IY
CAMPEST	K AE M P AH S T
CAMPHOR	K AE M F AH R
CAMPINAS	K AE M P AH N AH Z
CANAD	K AE N AH D
CANADIANISM	K AH N EY D IY AH N IH Z AH M
CANALETTO	K AE N AH L EH T OW
CANALIZATION	K AH N AE L AH Z EY SH AH N
CANALIZE	K AH N AE L AY Z
CANAPÃ‰	K AE N AH P
CANCELATE	K AE N S AH L AH T
CANCELER	K AE N S AH L ER
CANDELABRUM	K AE N D IY L AE B R AH M
CANDI	K AE N D IY
CANDIDATURE	K AE N D AH D AH CH ER
CANDIDE	K AE N D AY D
CANDIDNESS	K AE N D AH D N AH S
CANDLELIT	K AE N D AH L IH T
CANDLEPOWER	K AE N D AH L P AW ER
CANDLEWICK	K AE N D AH L W IH K
CANDRA	K AE N D R AH
CANEBRAKE	K EY N B R EY K
CANER	K EY N ER
CANIS	K EY N IY Z
CANKEROUS	K AE NG K ER AH S
CANNELLONI	K AE N EH L AH N IY
CANNILY	K AE N IY L IY
CANNINESS	K AE N IY N AH S
CANNINESSES	K AE N IY N AH S IH Z
CANNONADE	K AE N AH N EY D
CANONICALIZE	K AE N AH N IH K AH L AY Z
CANONIST	K AE N AH N IH S T
CANOPUS	K AE N OW P AH S
CANST	K AE N S T
CANTABILE	K AE N T AH B AY L
CANTABRIGIAN	K AE N T AE B R AH JH AH N
CANTED	K AE N T IH D
CANTERED	K AE N T ER D
CANTERING	K AE N T ER IH NG
CANTICLE	K AE N T IH K AH L
CANTILEVER	K AE N T AH L IY V ER
CANTONMENT	K AE N T AH N M AH N T
CANTS	K AE N T S
CANUTE	K AE N Y UW T
CANVASBACK	K AE N V AH S B AE K
CANVASSER	K AE N V AH S ER
CAPABLENESS	K EY P AH B AH L N AH S
CAPABLER	K EY P AH B AH L ER
CAPABLEST	K EY P AH B AH L AH S T
CAPABLY	K EY P AH B L IY
CAPACITATE	K AH P AE S AH T AH T
CAPACITIVE	K AH P AE S AH T IH V
CAPARISON	K EY P EH R IY Z AO N
CAPESKIN	K EY P S K IH N
CAPET	K AE P AH T
CAPILLARITY	K AE P IH L ER AH T IY
CAPITALIZER	K AE P AH T AH L AY Z ER
CAPITATION	K AE P AH T EY SH AH N
CAPLET	K EY P L AH T
CAPSICUM	K AE P S IH K AH M
CAPSULAR	K AE P S AH L ER
CAPSULIZE	K AE P S AH L AY Z
CAPT	K AE P T
CAPTAINCY	K AE P T AH N S IY
CAPTIOUS	K AE P SH AH S
CAPTIOUSNESS	K AE P SH AH S N AH S
CAPTIVATION	K AE P T IH V EY SH AH N
CAPTIVATOR	K AE P T IH V AH T ER
CAPTURER	K AE P CH ER ER
CAPULET	K AE P Y UW L AH T
CARACALLA	K AE R AH K AE L AH
CARALIE	K EH R AH L IY
CARAPACE	K AA R AH P EY S
CARAPAXES	K AA R AH P AA K S IH Z
CARAVAGGIO	K AE R AH V AE JH IY OW
CARAVANER	K AE R AH V AE N ER
CARAVANSARY	K AE R AH V AE N Z EH R IY
CARBOLIC	K AA R B AH L AH K
CARBOLOY	K AA R B OW L OW IY
CARBONACEOUS	K AA R B AH N EY S AH S
CARBONATION	K AA R B AH N EY SH AH N
CARBONIZER	K AA R B AH N AY Z ER
CARBONIZES	K AA R B AH N AY Z IH Z
CARBONYL	K AA R B AH N IH L
CARBUNCLE	K AA R B AH NG K AH L
CARBUNCULAR	K AA R B AH NG K Y AH L AH R
CARBURETTER	K AA R B IY Y ER EH T ER
CARBURETTOR	K AA R B IY Y ER EH T ER
CARCASE	K AA R K EY S
CARCE	K AA R S
CARDAMOM	K AA R D AH M AH M
CARDINALITY	K AA R D AH N AH L AH T IY
CARDING	K AA R D IH NG
CARDIOD	K AA R D IY AH D
CARDIOGRAM	K AA R D IY AA G R AH M
CARDIOGRAPH	K AA R D IY AA G R AH F
CARDIOGRAPHS	K AA R D IY AA G R AH F S
CARDIOID	K AA R D AY OY D
CARDIOMEGALY	K AA R D IY AH M EH G AH L IY
CARDSHARP	K AA R D SH AA R P
CAREFULLER	K EH R F AH L ER
CAREFULLEST	K EH R F AH L AH S T
CAREFULNESS	K EH R F AH L N AH S
CAREN	K EH R AH N
CARESA	K AE R AH S AH
CARESSA	K AH R EH S AH
CARESSER	K AH R EH S ER
CARESSIVE	K AH R EH S IH V
CARET	K AE R AH T
CAREWORN	K EH R W OW R N
CARFARE	K AA R F EH R
CARHOP	K AA R HH AA P
CARHOPPED	K AA R HH AA P T
CARHOPPING	K AA R HH AA P IH NG
CARI	K AE R IY
CARIA	K AE R IY AH
CARIB	K AE R AH B
CARIES	K EH R IY Z
CARIL	K AE R AH L
CARILLONNED	K AA R IH L AO N D
CARILLONNING	K AA R IH L AO N IH NG
CARILYN	K AE R AH L AH N
CARINA	K AE R AH N AH
CARIOTTA	K AE R IY AA T AH
CARIOUS	K EH R IY AH S
CARITTA	K AH R IH T AH
CARLEE	K AA R L IY
CARLETONIAN	K AA R L AH T OW N IY AH N
CARLIE	K AA R L IY
CARLINA	K AA R L AH N AH
CARLINE	K AA R L AY N
CARLOTA	K AA R L AH T AH
CARLYE	K AA R L AY
CARLYN	K AA R L AH N
CARLYNN	K AA R L AH N
CARLYNNE	K AA R L AH N
CARMELIA	K AA R M IY L Y AH
CARMELINA	K AA R M EH L AH N AH
CARMELLA	K AA R M EH L AH
CARMELLE	K AA R M AH L
CARMENCITA	K AA R M EH N S AH T AH
CARMINA	K AA R M AH N AH
CARNALITY	K AA R N AE L AH T IY
CARNAP	K AA R N AE P
CARNELIAN	K AA R N IY L IY AH N
CARNOT	K AA R N AH T
CARNY	K AA R N IY
CAROLA	K AE R AH L AH
CAROLANN	K AE R AH L AH N
CAROLEE	K AE R AH L IY
CAROLER	K AE R AH L ER
CAROLIN	K AE R AH L IH N
CAROLJEAN	K AE R AH L JH IY N
CAROLYNN	K AE R AH L AH N
CAROM	K AE R AH M
CAROUSAL	K AH R AW Z AH L
CAROUSER	K AH R AW Z ER
CARPATHIAN	K AA R P AE TH IY AH N
CARPEL	K AA R P AH L
CARPENTERING	K AA R P AH N T ER IH NG
CARPETBAG	K AA R P AH T B AE G
CARPETBAGGED	K AA R P AH T B AE G D
CARPI	K AA R P IY
CARPUS	K AA R P AH S
CARRAGEEN	K AA R IH JH AH N
CARREE	K AA R IY
CARRI	K AE R IY
CARRIAGEWAY	K AE R IH JH W EY
CARRISSA	K AE R IH S AH
CARROTY	K AE R AH T IY
CARRYALL	K AE R IY AO L
CARRYOUT	K AE R IY AW T
CARSICKNESS	K AA R S IH K N AH S
CARTAGE	K AA R T IH JH
CARTHORSE	K AA R T HH AO R S
CARTLOAD	K AA R T L OW D
CARTOGRAPHER	K AA R T AA G R AH F AH R
CARTOGRAPHIC	K AA R T AA G R AH F AH K
CARTOGRAPHY	K AA R T AA G R AH F IY
CARVEN	K AA R V AH N
CARYATID	K EH R IY AH T AH D
CASABA	K AE S AH B AH
CASANDRA	K AH S AE N D R AH
CASAR	K EY S ER
CASCARA	K AE S AH R AH
CASEBOOK	K EY S B UH K
CASED	K EY S T
CASEHARDEN	K EY S HH AA R D AH N
CASEMENT	K EY S M AH N T
CASHBOOK	K AE SH B UH K
CASIE	K EY S IY
CASSANDRE	K AE S AE N D AH R
CASSANDRY	K AE S AE N D R IY
CASSAVA	K AE S AH V AH
CASSEY	K AE S IY
CASSI	K AE S IY
CASSIOPEIA	K AE S IY OW P IY AH
CASSITE	K AE S AY T
CASSIUS	K AE S AY AH S
CASSONDRA	K AE S AA N D R AH
CASSY	K AE S IY
CASTANET	K AE S T AH N EH T
CASTELLATED	K AE S T AH L EY T AH D
CASTIGATION	K AE S T AH G EY SH AH N
CASTIGATOR	K AE S T AH G EY T ER
CASTRIES	K AE S T R IY Z
CASUIST	K AH ZH UW W AH S T
CASUISTIC	K AH S UW S T AH K
CASUISTRY	K AH S UW S T R IY
CATACLYSMAL	K AH T AE K L IH Z M AH L
CATAFALQUE	K AE T AH F AH L K
CATALEPSY	K AE T AH L EH P S IY
CATALEPTIC	K AE T AH L AH P T AH K
CATALPA	K AH T AE L P AH
CATALYSIS	K EY T AH L IY Z IY Z
CATARINA	K AH T AE R AH N AH
CATARRH	K AE T AH R
CATARRHS	K AE T AH R Z
CATATONIA	K AE T AH T OW N IY AH
CATBOAT	K AE T B OW T
CATCHABLE	K AE CH AH B AH L
CATCHPENNY	K AE CH P EH N IY
CATCHPHRASE	K AE CH F R EY Z
CATECHIST	K AE T AH K AH S T
CATECHIZE	K AE T AH K AY Z
CATEGORIC	K EY T G OW R IH K
CATENATE	K EY T AH N AH T
CATENATION	K EY T AH N EY SH AH N
CATERCORNER	K EY T ER K AO R N ER
CATERINA	K AH T EH R AH N AH
CATGUT	K AE T G AH T
CATHA	K AE TH AH
CATHARINA	K AH TH AE R AH N AH
CATHARSES	K AH TH AA R S AH Z
CATHE	K EY DH
CATHEE	K AH TH IY IY
CATHERIN	K AE TH AH R AH N
CATHETERIZE	K AE TH AH T ER AY Z
CATHI	K AE TH IY
CATHLENE	K AE TH L IY N
CATHODIC	K AE TH OW D IH K
CATHOLICITY	K AE TH L IH K AH T IY
CATHRIN	K AE TH R AH N
CATHRINE	K AE TH R AY N
CATHRYN	K AE TH R AH N
CATHYLEEN	K AH TH AY L IY AH N
CATI	K AE T IY
CATIE	K EY T IY
CATILINE	K AE T AH L AY N
CATINA	K AE T AH N AH
CATION	K EY SH AH N
CATIONIC	K EY SH AH N IH K
CATKIN	K AE T K AH N
CATLAINA	K AE T L EY N AH
CATLEE	K AE T L IY
CATNAPPED	K AE T N AE P T
CATNAPPING	K AE T N AE P IH NG
CATRINA	K AE T R AH N AH
CATRIONA	K AE T R IY AH N AH
CATTAIL	K AE T EY L
CATTED	K AE T IH D
CATTERY	K AE T AH R IY
CATTILY	K AE T IY L IY
CATTINESS	K AE T IY N AH S
CATTING	K AE T IH NG
CATTLEMAN	K AE T AH L M AE N
CATULLUS	K AH T AH L AH S
CATY	K EY T IY
CAUCASOID	K AO K AH Z OY D
CAUCHY	K AO CH IY
CAULKER	K AO K AH R
CAUSATE	K AO Z AH T
CAUSELESS	K AO Z L AH S
CAUSERIE	K AO Z ER IY
CAUSTICALLY	K AO S T AH K AE L IY
CAUSTICITY	K AO S T IH S AH T IY
CAUTIONER	K AO SH AH N ER
CAVALIERNESS	K EY V AH L IY ER N AH S
CAVALRYMAN	K AE V AH L R IY M AE N
CAVALRYMEN	K AE V AH L R IY M EH N
CAVEATTED	K EY V IY AE T IH D
CAVEATTING	K EY V IY AE T IH NG
CAVEMEN	K EY V M EH N
CAVIL	K AE V AH L
CAVILER	K EY V AH L AH R
CAVOUR	K AE V AH R
CAYE	K EY
CAYLA	K EY L AH
CAYUGA	K EY UW G AH
CAYUSE	K EY UW Z
CAZZIE	K AE Z AY
CEBUANO	S EH B Y UW AH N OW
CECAL	S IY K AH L
CECILEY	S IY S AH L IY
CECILIO	S AH S IH L IY OW
CECILIUS	S AH S IH L AY AH S
CECILLA	S AH S IH L AH
CECILY	S EH S AH L IY
CEDILLA	S AH D IH L AH
CEIL	S IY L
CEILIDH	S IY L AH D
CELEBRATOR	S EH L AH B R AH T ER
CELESTIA	S AH L EH S IY AH
CELESTYN	S AH L EH S T AH N
CELESTYNA	S AH L EH S T AH N AH
CELINKA	S AH L IH NG K AH
CELISSE	S EH L AH S
CELKA	S EH L K AH
CELLARER	S EH L ER ER
CELLE	S EH L
CELLULITE	S EH L AH L AY T
CEMENTA	S AH M EH N T AH
CEMENTER	S IH M EH N T ER
CEMENTUM	S AH M EH N T AH M
CENOBITE	S EH N AH B AY T
CENOBITIC	S EH N AH B AH T AH K
CENOTAPH	S EH N AH T AH F
CENOTAPHS	S EH N AH T AH F S
CENSORIAL	S EH N S OW R IY AH L
CENSORIOUS	S EH N S ER IY AH S
CENSURER	S EH N CH ER ER
CENTAURUS	S EH N T EY Y AH R AH S
CENTAVO	S EH N T AH V OW
CENTERBOARD	S EH N T ER B OW R D
CENTERER	S EH N T ER ER
CENTERLINE	S EH N T ER L AY N
CENTILITER	S EH N T AH L AY T AH R
CENTRALIST	S EH N T R AH L IH S T
CENTRALIZER	S EH N T R AH L AY Z ER
CENTRALIZES	S EH N T R AH L AY Z IH Z
CENTRIC	S EH N T R IH K
CENTRIFUGATE	S EH N T R AH F Y UW JH AH T
CENTRIPETAL	S EH N T R IH P AH T AH L
CENTROID	S EH N T R OW AH D
CEPHALIC	S EH F AH L AH K
CEPHEID	S AH F IY D
CEPHEUS	S EH F IY AH S
CERAMICIST	S AH R AE M IH K IH S T
CERAMIST	S EH R AH M AH S T
CERATE	S IY R EY T
CERBERUS	S AH R B AH R AH S
CEREBELLAR	S EH R AH B EH L AH R
CEREBELLUM	S EH R AH B EH L AH M
CEREBRA	S AH R EH B R AH
CEREBRATE	S EH R AH B R AH T
CEREBRATION	S EH R AH B R EY SH AH N
CEREBRUM	S AH R EH B R AH M
CEREMENT	S IH R M AH N T
CEREMONIOUS	S EH R AH M OW N IY AH S
CERENKOV	S AH R EH NG K AH V
CERIUM	S IY R IY AH M
CERMET	S AH R M AH T
CERT	S AH R T
CERTAINER	S ER T AH N ER
CERTAINEST	S ER T AH N AH S T
CERTIFIABLE	S ER T AH F AY AH B AH L
CERTIFIABLY	S ER T AH F AY AH B L IY
CERTIFIER	S ER T AH F AY ER
CERTIORARI	S ER SH IY AH R AA R IY
CERULEAN	S AH R UW L IY AH N
CERVICES	S AH R V AH S
CESAREAN	S AH S AE R IY AH N
CESSION	S EH SH AH N
CESSPIT	S EH S AH T
CESYA	S EH S AY AH
CEYLONESE	S EY L AH N IY Z
CHADDIE	CH AE D AY
CHADDY	CH AE D IY
CHAFER	CH EY F ER
CHAFFER	CH AE F ER
CHAFFERER	CH AE F ER ER
CHAFFEY	CH AE F IY
CHAFFINCH	CH AE F IH N CH
CHAINLIKE	CH EY N L AY K
CHAIRLADY	CH EH ER L EY D IY
CHAIRLIFT	CH EH ER L IH F T
CHALDEA	CH AE L D IY AH
CHALDEAN	CH AE L D IY AH N
CHALKBOARD	CH AO K B OW R D
CHALKINESS	CH AO K IY N AH S
CHALKLINE	CH AO K L AY N
CHALKY	CH AO K IY
CHAMBERER	CH EY M B ER ER
CHAMBERPOT	CH EY M B ER P AA T
CHAMBRAY	CH AE M B R EY IY
CHAMFER	CH AE M F EH R
CHAMOIS	SH AE M IY
CHAMOMILE	CH AH M OW M AH L
CHANCED	CH AE N S T
CHANCEL	CH AE N S AH L
CHANCELLERY	CH AE N S AH L AH R IY
CHANCINESS	CH AE N S IY N AH S
CHANCING	CH AE N S IH NG
CHANCRE	CH AE NG K AH R
CHANDAL	CH AE N D AH L
CHANDIGARH	CH AE N D AH G AH R
CHANDRAGUPTA	CH AE N D R AH G AH P T AH
CHANDY	CH AE N D IY
CHANE	CH EY N
CHANGEABLY	CH EY N JH AH B L IY
CHANGELESS	CH EY N JH L AH S
CHANGELING	CH EY N JH L IH NG
CHANGSHA	CH AE N G SH AH
CHANNA	CH AE N AH
CHANNELER	CH AE N AH L ER
CHANNELIZE	CH AE N AH L AY Z
CHANNELLINGS	CH AE N AH L IH NG Z
CHANSON	SH AA N S OW N
CHANTALLE	CH AE N T AH L
CHANTER	CH AE N T ER
CHANTEUSE	CH AE N T Y UW Z
CHANTEY	SH AE N T IY
CHANTICLEER	CH AE N T IH K L IH ER
CHANTRY	CH AE N T R IY
