"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-UK","UPDATE-UK","CURRENT-Trustwords","UPDATE-Trustwords","CURRENT-English Fluency","UPDATE-English Fluency","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A1UBMR7KI0S8DS","https://master-requester.mturk.com/workers/A1UBMR7KI0S8DS","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1UEIBYJQHG62V","https://master-requester.mturk.com/workers/A1UEIBYJQHG62V","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1UGZWT6HTKN0T","https://master-requester.mturk.com/workers/A1UGZWT6HTKN0T","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1UUSM4E3E5BIF","https://master-requester.mturk.com/workers/A1UUSM4E3E5BIF","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1UYK7SUH7SQ6W","https://master-requester.mturk.com/workers/A1UYK7SUH7SQ6W","3","3","100.00%","3","3","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A1UZXOMO6BS6I2","https://master-requester.mturk.com/workers/A1UZXOMO6BS6I2","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","","","1","","Never Blocked","",""
"A1V0RDWOXP8N7","https://master-requester.mturk.com/workers/A1V0RDWOXP8N7","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1V4IGF2OD43ZT","https://master-requester.mturk.com/workers/A1V4IGF2OD43ZT","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1V7SD89P2M326","https://master-requester.mturk.com/workers/A1V7SD89P2M326","4","4","100.00%","4","4","100.00%","4","4","100.00%","","","1","","1","","Never Blocked","",""
"A1V9K9L46WR7JD","https://master-requester.mturk.com/workers/A1V9K9L46WR7JD","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1VE1CAMPSYRHE","https://master-requester.mturk.com/workers/A1VE1CAMPSYRHE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1VHJ2NJ8UGY9L","https://master-requester.mturk.com/workers/A1VHJ2NJ8UGY9L","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1VIAHZ5BR79G9","https://master-requester.mturk.com/workers/A1VIAHZ5BR79G9","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A1VKY091B2LFDO","https://master-requester.mturk.com/workers/A1VKY091B2LFDO","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1VY0MUOUQR1J2","https://master-requester.mturk.com/workers/A1VY0MUOUQR1J2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1W0LZEAMU1B6M","https://master-requester.mturk.com/workers/A1W0LZEAMU1B6M","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1W23FOSVTQ05N","https://master-requester.mturk.com/workers/A1W23FOSVTQ05N","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1W4M35XT7JK6M","https://master-requester.mturk.com/workers/A1W4M35XT7JK6M","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1WAWEY2810TFN","https://master-requester.mturk.com/workers/A1WAWEY2810TFN","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A1WF19BIZNJDZR","https://master-requester.mturk.com/workers/A1WF19BIZNJDZR","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A1WISFBL3J5Z12","https://master-requester.mturk.com/workers/A1WISFBL3J5Z12","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1WJJ1CW5WLTC2","https://master-requester.mturk.com/workers/A1WJJ1CW5WLTC2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1WLQAGAFA20CB","https://master-requester.mturk.com/workers/A1WLQAGAFA20CB","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1WPCMXFU9NH9G","https://master-requester.mturk.com/workers/A1WPCMXFU9NH9G","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","1","","1","","Never Blocked","",""
"A1WSCND5HZZV5N","https://master-requester.mturk.com/workers/A1WSCND5HZZV5N","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1WWEVAE2SSVZ0","https://master-requester.mturk.com/workers/A1WWEVAE2SSVZ0","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1WWRDX5HQ1WOK","https://master-requester.mturk.com/workers/A1WWRDX5HQ1WOK","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1X7FVM9URL2CR","https://master-requester.mturk.com/workers/A1X7FVM9URL2CR","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1X8UBJ3IA1T1","https://master-requester.mturk.com/workers/A1X8UBJ3IA1T1","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A1XC1IDYSZI3GI","https://master-requester.mturk.com/workers/A1XC1IDYSZI3GI","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1XQ3PIQAXBFTD","https://master-requester.mturk.com/workers/A1XQ3PIQAXBFTD","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1XTWXIMUCDGQE","https://master-requester.mturk.com/workers/A1XTWXIMUCDGQE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1XUZFDVKP95VC","https://master-requester.mturk.com/workers/A1XUZFDVKP95VC","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1XWLODXABC39N","https://master-requester.mturk.com/workers/A1XWLODXABC39N","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1XZG02BR0CZMS","https://master-requester.mturk.com/workers/A1XZG02BR0CZMS","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A1Y0CLL6EMMN31","https://master-requester.mturk.com/workers/A1Y0CLL6EMMN31","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A1YAHGRFVDZ4X8","https://master-requester.mturk.com/workers/A1YAHGRFVDZ4X8","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1YCGICA8XCNBH","https://master-requester.mturk.com/workers/A1YCGICA8XCNBH","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1YH2I4Y2SYAXJ","https://master-requester.mturk.com/workers/A1YH2I4Y2SYAXJ","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A1YI1H05AQ3ING","https://master-requester.mturk.com/workers/A1YI1H05AQ3ING","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1YJBDSAVBI0AJ","https://master-requester.mturk.com/workers/A1YJBDSAVBI0AJ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1YJZESXJDG0XM","https://master-requester.mturk.com/workers/A1YJZESXJDG0XM","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1YOC0B3ZWPOND","https://master-requester.mturk.com/workers/A1YOC0B3ZWPOND","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1YQYW5IXWXS4F","https://master-requester.mturk.com/workers/A1YQYW5IXWXS4F","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","5","","Never Blocked","",""
"A1YZLW3O5RQWGM","https://master-requester.mturk.com/workers/A1YZLW3O5RQWGM","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","0","","Never Blocked","",""
"A1Z0YMGUC86KC5","https://master-requester.mturk.com/workers/A1Z0YMGUC86KC5","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A1Z203GVNL7EP7","https://master-requester.mturk.com/workers/A1Z203GVNL7EP7","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1ZD8RU6YB0VEU","https://master-requester.mturk.com/workers/A1ZD8RU6YB0VEU","4","4","100.00%","4","4","100.00%","4","4","100.00%","","","1","","1","","Never Blocked","",""
"A1ZLY60CGN617T","https://master-requester.mturk.com/workers/A1ZLY60CGN617T","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1ZPYSX30BDIVW","https://master-requester.mturk.com/workers/A1ZPYSX30BDIVW","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1ZQ4Q7DXAE35B","https://master-requester.mturk.com/workers/A1ZQ4Q7DXAE35B","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1ZR710QUGFM2Z","https://master-requester.mturk.com/workers/A1ZR710QUGFM2Z","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A1ZRDTRNC99FXO","https://master-requester.mturk.com/workers/A1ZRDTRNC99FXO","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1ZT0TLZZTT47M","https://master-requester.mturk.com/workers/A1ZT0TLZZTT47M","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A1ZZ7YO3YASNIP","https://master-requester.mturk.com/workers/A1ZZ7YO3YASNIP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A20CVSKTLJTTTT","https://master-requester.mturk.com/workers/A20CVSKTLJTTTT","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A20EAB69CYLD6X","https://master-requester.mturk.com/workers/A20EAB69CYLD6X","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A20HL4RSJ88TD8","https://master-requester.mturk.com/workers/A20HL4RSJ88TD8","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A20I0A2QIRZTTF","https://master-requester.mturk.com/workers/A20I0A2QIRZTTF","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A20J4UMTIME0YU","https://master-requester.mturk.com/workers/A20J4UMTIME0YU","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A20JVRNN0C4H12","https://master-requester.mturk.com/workers/A20JVRNN0C4H12","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A20QXCW2IQ1JTI","https://master-requester.mturk.com/workers/A20QXCW2IQ1JTI","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A20SPH0DOU37TQ","https://master-requester.mturk.com/workers/A20SPH0DOU37TQ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A20SXG1DHDIDI7","https://master-requester.mturk.com/workers/A20SXG1DHDIDI7","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A20W9ZCV1YTGEM","https://master-requester.mturk.com/workers/A20W9ZCV1YTGEM","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A20XPARTTWNNK2","https://master-requester.mturk.com/workers/A20XPARTTWNNK2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A2105HE3NI2TQ5","https://master-requester.mturk.com/workers/A2105HE3NI2TQ5","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A214QU1LFV5Q14","https://master-requester.mturk.com/workers/A214QU1LFV5Q14","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A2196WCNDZULFS","https://master-requester.mturk.com/workers/A2196WCNDZULFS","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A21C7LCEX3EYQH","https://master-requester.mturk.com/workers/A21C7LCEX3EYQH","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A21E14UDZSA0AW","https://master-requester.mturk.com/workers/A21E14UDZSA0AW","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A21F3JVYYDOQ7W","https://master-requester.mturk.com/workers/A21F3JVYYDOQ7W","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A21PDJTGH8D15S","https://master-requester.mturk.com/workers/A21PDJTGH8D15S","2","2","100.00%","2","2","100.00%","1","1","100.00%","1","","","","","","Never Blocked","",""
"A21QQHAAS9PZ1R","https://master-requester.mturk.com/workers/A21QQHAAS9PZ1R","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A21SF3IKIZB0VN","https://master-requester.mturk.com/workers/A21SF3IKIZB0VN","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A21XSR8BER3AUQ","https://master-requester.mturk.com/workers/A21XSR8BER3AUQ","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A21Y59B9P4BPKB","https://master-requester.mturk.com/workers/A21Y59B9P4BPKB","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A21ZMR7O42OSMI","https://master-requester.mturk.com/workers/A21ZMR7O42OSMI","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A2202M6EJ76RQ6","https://master-requester.mturk.com/workers/A2202M6EJ76RQ6","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A223BBAD3U6QFR","https://master-requester.mturk.com/workers/A223BBAD3U6QFR","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A226A2RG04N2BF","https://master-requester.mturk.com/workers/A226A2RG04N2BF","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A22B1ZTDHFLZ","https://master-requester.mturk.com/workers/A22B1ZTDHFLZ","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A22G36FU1F9Z75","https://master-requester.mturk.com/workers/A22G36FU1F9Z75","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A22ON3MIIG0IJA","https://master-requester.mturk.com/workers/A22ON3MIIG0IJA","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A230VUDYOCRZ4N","https://master-requester.mturk.com/workers/A230VUDYOCRZ4N","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A234XECYPCZY5V","https://master-requester.mturk.com/workers/A234XECYPCZY5V","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","0","","Never Blocked","",""
"A239EUWY6SNDEZ","https://master-requester.mturk.com/workers/A239EUWY6SNDEZ","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A23DLX3K161MH3","https://master-requester.mturk.com/workers/A23DLX3K161MH3","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A23FEELMFHLC9K","https://master-requester.mturk.com/workers/A23FEELMFHLC9K","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A23FYKJMPGY1C3","https://master-requester.mturk.com/workers/A23FYKJMPGY1C3","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A23HLFYOV789GV","https://master-requester.mturk.com/workers/A23HLFYOV789GV","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A23KNYW5XJ9FKD","https://master-requester.mturk.com/workers/A23KNYW5XJ9FKD","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A23OGMOKERQS5R","https://master-requester.mturk.com/workers/A23OGMOKERQS5R","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","0","","Never Blocked","",""
"A23ONWDSVICDCY","https://master-requester.mturk.com/workers/A23ONWDSVICDCY","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","1","","1","","Never Blocked","",""
"A23PQPECIUVKHC","https://master-requester.mturk.com/workers/A23PQPECIUVKHC","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A23VM3SZWYATBO","https://master-requester.mturk.com/workers/A23VM3SZWYATBO","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A23X4F21UBG3ZZ","https://master-requester.mturk.com/workers/A23X4F21UBG3ZZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A242WVXZKILTNL","https://master-requester.mturk.com/workers/A242WVXZKILTNL","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A244R34WM3IZO8","https://master-requester.mturk.com/workers/A244R34WM3IZO8","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A245CPNDUDHUYX","https://master-requester.mturk.com/workers/A245CPNDUDHUYX","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A249M2F9FFNIK2","https://master-requester.mturk.com/workers/A249M2F9FFNIK2","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A24DSECWUBZC0Z","https://master-requester.mturk.com/workers/A24DSECWUBZC0Z","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A24E737D0977EH","https://master-requester.mturk.com/workers/A24E737D0977EH","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A24ED1G7EIJXJA","https://master-requester.mturk.com/workers/A24ED1G7EIJXJA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A24IQQ8604W7KK","https://master-requester.mturk.com/workers/A24IQQ8604W7KK","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A24NYP336X0LCJ","https://master-requester.mturk.com/workers/A24NYP336X0LCJ","2","2","100.00%","2","2","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A24RGLS3BRZ60J","https://master-requester.mturk.com/workers/A24RGLS3BRZ60J","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A24SLHRF1KDF2Y","https://master-requester.mturk.com/workers/A24SLHRF1KDF2Y","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A24XVUEUWVB0ZZ","https://master-requester.mturk.com/workers/A24XVUEUWVB0ZZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A24YYQ69WO6F5K","https://master-requester.mturk.com/workers/A24YYQ69WO6F5K","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A24ZKEJTS1O4IW","https://master-requester.mturk.com/workers/A24ZKEJTS1O4IW","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A2515AWG5CE9QL","https://master-requester.mturk.com/workers/A2515AWG5CE9QL","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A251LE41I2836F","https://master-requester.mturk.com/workers/A251LE41I2836F","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A257Q6V67C6AMR","https://master-requester.mturk.com/workers/A257Q6V67C6AMR","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A25894CV44ZZ0V","https://master-requester.mturk.com/workers/A25894CV44ZZ0V","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A259UZJQOOVE4V","https://master-requester.mturk.com/workers/A259UZJQOOVE4V","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A25BRCS2JF0P0A","https://master-requester.mturk.com/workers/A25BRCS2JF0P0A","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A25HIOE2S953Y4","https://master-requester.mturk.com/workers/A25HIOE2S953Y4","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A25PQTWHOMESAT","https://master-requester.mturk.com/workers/A25PQTWHOMESAT","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A25T7Z3Z895KHE","https://master-requester.mturk.com/workers/A25T7Z3Z895KHE","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A25VMZB6JJGGBZ","https://master-requester.mturk.com/workers/A25VMZB6JJGGBZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A25W2ZE5KKPKL8","https://master-requester.mturk.com/workers/A25W2ZE5KKPKL8","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A25Y9CRSQXTBFC","https://master-requester.mturk.com/workers/A25Y9CRSQXTBFC","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A25ZZOSL7MVU22","https://master-requester.mturk.com/workers/A25ZZOSL7MVU22","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A261NEZSEFSRQI","https://master-requester.mturk.com/workers/A261NEZSEFSRQI","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A26A4HQXUN51VY","https://master-requester.mturk.com/workers/A26A4HQXUN51VY","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A26GNWZQ6K9R96","https://master-requester.mturk.com/workers/A26GNWZQ6K9R96","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A26LYKJHHZ9MPC","https://master-requester.mturk.com/workers/A26LYKJHHZ9MPC","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","","","Never Blocked","",""
"A26WJPE2RS98NM","https://master-requester.mturk.com/workers/A26WJPE2RS98NM","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","","","","","Never Blocked","",""
"A26X054UJOBN6K","https://master-requester.mturk.com/workers/A26X054UJOBN6K","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A26ZOTITCH45QB","https://master-requester.mturk.com/workers/A26ZOTITCH45QB","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","","","","","Never Blocked","",""
"A270Q1X6J1JTKK","https://master-requester.mturk.com/workers/A270Q1X6J1JTKK","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A272X64FOZFYLB","https://master-requester.mturk.com/workers/A272X64FOZFYLB","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A2731KSHAYMZE4","https://master-requester.mturk.com/workers/A2731KSHAYMZE4","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A273DS7TQWR9M1","https://master-requester.mturk.com/workers/A273DS7TQWR9M1","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A277KN9SYH1OLP","https://master-requester.mturk.com/workers/A277KN9SYH1OLP","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A27ADZOLZS0J9I","https://master-requester.mturk.com/workers/A27ADZOLZS0J9I","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A27G7IZ1ZOMX5T","https://master-requester.mturk.com/workers/A27G7IZ1ZOMX5T","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A27H6WMJBXIOKI","https://master-requester.mturk.com/workers/A27H6WMJBXIOKI","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A27SMEOPKV84VI","https://master-requester.mturk.com/workers/A27SMEOPKV84VI","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A27TYK7FQNPG8J","https://master-requester.mturk.com/workers/A27TYK7FQNPG8J","2","2","100.00%","2","2","100.00%","0","0","0.00%","1","","","","1","","Never Blocked","",""
"A27ZYXMAS2045Z","https://master-requester.mturk.com/workers/A27ZYXMAS2045Z","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","","","","","Never Blocked","",""
"A281Q8U3T9H7JS","https://master-requester.mturk.com/workers/A281Q8U3T9H7JS","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A284YHQWREBH07","https://master-requester.mturk.com/workers/A284YHQWREBH07","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
"A2873IWWYUPLSP","https://master-requester.mturk.com/workers/A2873IWWYUPLSP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A28CYSCFUUDRXT","https://master-requester.mturk.com/workers/A28CYSCFUUDRXT","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","","","1","","Never Blocked","",""
"A28F1ZWZ9H0RHA","https://master-requester.mturk.com/workers/A28F1ZWZ9H0RHA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A28L1K6D8QUCML","https://master-requester.mturk.com/workers/A28L1K6D8QUCML","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A28PMGVPFFY1KL","https://master-requester.mturk.com/workers/A28PMGVPFFY1KL","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","","","Never Blocked","",""
"A28XY45P295UQM","https://master-requester.mturk.com/workers/A28XY45P295UQM","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A291ANCQDMM2QE","https://master-requester.mturk.com/workers/A291ANCQDMM2QE","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A291UL6WXA711F","https://master-requester.mturk.com/workers/A291UL6WXA711F","3","3","100.00%","3","3","100.00%","3","3","100.00%","","","1","","1","","Never Blocked","",""
"A294DLO5YUW3Y2","https://master-requester.mturk.com/workers/A294DLO5YUW3Y2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","","","1","","Never Blocked","",""
"A2959L16M8OES7","https://master-requester.mturk.com/workers/A2959L16M8OES7","2","2","100.00%","2","2","100.00%","2","2","100.00%","","","1","","1","","Never Blocked","",""
